iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
410	245	273	245	340	245	340	273
411	245	273	245	340	245	340	273
412	247	274	247	340	247	340	274
413	247	275	247	340	247	340	275
414	248	276	248	340	248	340	276
415	247	274	247	340	247	340	274
416	248	275	248	340	248	340	275
417	248	275	248	340	248	340	275
418	248	275	248	340	248	340	275
419	248	275	248	340	248	340	275
420	248	276	248	340	248	340	276
421	248	276	248	340	248	340	276
422	248	276	248	340	248	340	276
423	251	279	251	340	251	340	279
424	251	279	251	340	251	340	279
425	251	279	251	340	251	340	279
426	251	279	251	340	251	340	279
427	252	280	252	340	252	340	280
428	252	280	252	340	252	340	280
429	252	280	252	340	252	340	280
430	252	280	252	340	252	340	280
431	252	280	252	340	252	340	280
432	252	280	252	340	252	340	280
433	252	280	252	340	252	340	280
434	252	280	252	340	252	340	280
435	252	279	252	340	252	340	279
436	252	279	252	340	252	340	279
437	252	279	252	340	252	340	279
438	252	279	252	340	252	340	279
439	252	279	252	340	252	340	279
440	252	279	252	340	252	340	279
441	252	279	252	340	252	340	279
442	252	279	252	340	252	340	279
443	253	280	253	340	253	340	280
444	253	280	253	340	253	340	280
445	253	280	253	340	253	340	280
446	253	280	253	340	253	340	280
447	253	280	253	340	253	340	280
448	253	280	253	340	253	340	280
449	253	280	253	340	253	340	280
450	253	280	253	340	253	340	280
451	253	280	253	340	253	340	280
452	253	280	253	340	253	340	280
453	253	280	253	340	253	340	280
454	253	280	253	340	253	340	280
455	253	280	253	340	253	340	280
456	253	280	253	340	253	340	280
457	253	280	253	340	253	340	280
458	253	280	253	340	253	340	280
459	253	280	253	340	253	340	280
460	254	281	254	340	254	340	281
461	254	281	254	340	254	340	281
462	254	281	254	340	254	340	281
463	254	281	254	340	254	340	281
464	254	281	254	340	254	340	281
465	254	281	254	340	254	340	281
466	254	281	254	340	254	340	281
467	254	281	254	340	254	340	281
468	254	281	254	340	254	340	281
469	254	282	254	340	254	340	282
470	254	282	254	340	254	340	282
471	254	282	254	340	254	340	282
472	254	282	254	340	254	340	282
473	256	284	256	340	256	340	284
474	256	284	256	340	256	340	284
475	256	284	256	340	256	340	284
476	256	284	256	340	256	340	284
477	256	284	256	340	256	340	284
478	256	284	256	340	256	340	284
479	259	288	259	340	259	340	288
480	259	288	259	340	259	340	288
481	259	288	259	340	259	340	288
482	259	288	259	340	259	340	288
483	259	288	259	340	259	340	288
484	259	288	259	340	259	340	288
485	259	288	259	340	259	340	288
486	259	288	259	340	259	340	288
487	259	288	259	340	259	340	288
488	259	288	259	340	259	340	288
489	259	288	259	340	259	340	288
490	259	288	259	340	259	340	288
491	259	288	259	340	259	340	288
492	259	288	259	340	259	340	288
493	259	288	259	340	259	340	288
494	259	288	259	340	259	340	288
495	259	288	259	340	259	340	288
496	259	288	259	340	259	340	288
497	259	288	259	340	259	340	288
498	259	288	259	340	259	340	288
499	259	288	259	340	259	340	288
500	259	288	259	340	259	340	288
501	259	288	259	340	259	340	288
502	259	288	259	340	259	340	288
503	259	288	259	340	259	340	288
504	259	288	259	340	259	340	288
505	259	288	259	340	259	340	288
506	259	288	259	340	259	340	288
507	259	288	259	340	259	340	288
508	259	288	259	340	259	340	288
509	259	288	259	340	259	340	288
510	259	288	259	340	259	340	288
511	259	288	259	340	259	340	288
512	259	288	259	340	259	340	288
513	259	288	259	340	259	340	288
514	259	288	259	340	259	340	288
515	259	288	259	340	259	340	288
516	259	288	259	340	259	340	288
517	259	288	259	340	259	340	288
518	259	288	259	340	259	340	288
