iter	Passed	Remaining
890	11811	1444
891	11821	1431
892	11829	1417
893	11839	1403
894	11849	1390
895	11863	1377
896	11873	1363
897	11889	1350
898	11902	1337
899	11915	1323
900	11925	1310
901	11937	1296
902	11946	1283
903	11956	1269
904	11986	1258
905	12004	1245
906	12014	1231
907	12024	1218
908	12032	1204
909	12042	1191
910	12054	1177
911	12065	1164
912	12083	1151
913	12097	1138
914	12111	1125
915	12122	1111
916	12131	1098
917	12146	1084
918	12158	1071
919	12168	1058
920	12179	1044
921	12191	1031
922	12206	1018
923	12231	1006
924	12250	993
925	12268	980
926	12295	968
927	12309	955
928	12325	942
929	12341	928
930	12355	915
931	12370	902
932	12383	889
933	12396	875
934	12409	862
935	12432	850
936	12446	836
937	12464	823
938	12482	810
939	12503	798
940	12536	786
941	12558	773
942	12577	760
943	12594	747
944	12607	733
945	12620	720
946	12633	707
947	12652	694
948	12672	681
949	12695	668
950	12726	655
951	12741	642
952	12785	630
953	12800	617
954	12807	603
955	12822	590
956	12836	576
957	12851	563
958	12866	550
959	12883	536
960	12904	523
961	12923	510
962	12946	497
963	12960	484
964	13044	473
965	13059	459
966	13080	446
967	13103	433
968	13125	419
969	13138	406
970	13154	392
971	13170	379
972	13184	365
973	13205	352
974	13223	339
975	13238	325
976	13253	312
977	13270	298
978	13289	285
979	13307	271
980	13326	258
981	13343	244
982	13358	231
983	13372	217
984	13385	203
985	13401	190
986	13424	176
987	13438	163
988	13453	149
989	13466	136
990	13483	122
991	13496	108
992	13516	95
993	13530	81
994	13550	68
995	13567	54
996	13581	40
997	13596	27
998	13610	13
999	13638	0
